depth	signal
4.000000E+00	2.055400E+01
4.200000E+00	2.055600E+01
4.400000E+00	2.057200E+01
4.600000E+00	2.059400E+01
4.800000E+00	2.060500E+01
5.000000E+00	2.063700E+01
5.200000E+00	2.066600E+01
5.400000E+00	2.069600E+01
5.600000E+00	2.072500E+01
5.800000E+00	2.076500E+01
6.000000E+00	2.082200E+01
6.200000E+00	2.086500E+01
6.400000E+00	2.090800E+01
6.600000E+00	2.097500E+01
6.800000E+00	2.102300E+01
7.000000E+00	2.106800E+01
7.200000E+00	2.114400E+01
7.400000E+00	2.118400E+01
7.600000E+00	2.125900E+01
7.800000E+00	2.131300E+01
8.000000E+00	2.135500E+01
8.200000E+00	2.143100E+01
8.400000E+00	2.147300E+01
8.600000E+00	2.153500E+01
8.800000E+00	2.158900E+01
9.000000E+00	2.163700E+01
9.200000E+00	2.170400E+01
9.400000E+00	2.175200E+01
9.600000E+00	2.183000E+01
9.800000E+00	2.188100E+01
1.000000E+01	2.194000E+01
1.020000E+01	2.199900E+01
1.040000E+01	2.206600E+01
1.060000E+01	2.212800E+01
1.080000E+01	2.220500E+01
1.100000E+01	2.224000E+01
1.120000E+01	2.230200E+01
1.140000E+01	2.235300E+01
1.160000E+01	2.242800E+01
1.180000E+01	2.249200E+01
1.200000E+01	2.256500E+01
1.220000E+01	2.262600E+01
1.240000E+01	2.267700E+01
1.260000E+01	2.275800E+01
1.280000E+01	2.283800E+01
1.300000E+01	2.290000E+01
1.320000E+01	2.294600E+01
1.340000E+01	2.302300E+01
1.360000E+01	2.311700E+01
1.380000E+01	2.315200E+01
1.400000E+01	2.323800E+01
1.420000E+01	2.329100E+01
1.450000E+01	2.338300E+01
1.460000E+01	2.340900E+01
1.490000E+01	2.351100E+01
1.500000E+01	2.358600E+01
1.520000E+01	2.365300E+01
1.540000E+01	2.372900E+01
1.560000E+01	2.379600E+01
1.590000E+01	2.389200E+01
1.600000E+01	2.395400E+01
1.620000E+01	2.403700E+01
1.640000E+01	2.409300E+01
1.660000E+01	2.417400E+01
1.680000E+01	2.426500E+01
1.700000E+01	2.434300E+01
1.720000E+01	2.442000E+01
1.750000E+01	2.451700E+01
1.770000E+01	2.459700E+01
1.790000E+01	2.468600E+01
1.810000E+01	2.474800E+01
1.830000E+01	2.482500E+01
1.850000E+01	2.491100E+01
1.870000E+01	2.500500E+01
1.890000E+01	2.508800E+01
1.910000E+01	2.518500E+01
1.930000E+01	2.528900E+01
1.950000E+01	2.535400E+01
1.970000E+01	2.547200E+01
1.990000E+01	2.555700E+01
2.010000E+01	2.564300E+01
2.030000E+01	2.573700E+01
2.050000E+01	2.584400E+01
2.070000E+01	2.594100E+01
2.080000E+01	2.602900E+01
2.110000E+01	2.613400E+01
2.130000E+01	2.624100E+01
2.150000E+01	2.635900E+01
2.170000E+01	2.645000E+01
2.190000E+01	2.655200E+01
2.210000E+01	2.665400E+01
2.230000E+01	2.678800E+01
2.250000E+01	2.689000E+01
2.270000E+01	2.698700E+01
2.290000E+01	2.709100E+01
2.310000E+01	2.722000E+01
2.330000E+01	2.734300E+01
2.350000E+01	2.744800E+01
2.370000E+01	2.758200E+01
2.390000E+01	2.771300E+01
2.410000E+01	2.781800E+01
2.430000E+01	2.797600E+01
2.450000E+01	2.809400E+01
2.470000E+01	2.822500E+01
2.490000E+01	2.835100E+01
2.510000E+01	2.848800E+01
2.530000E+01	2.866000E+01
2.550000E+01	2.875900E+01
2.570000E+01	2.891500E+01
2.590000E+01	2.906500E+01
2.610000E+01	2.923900E+01
2.630000E+01	2.937600E+01
2.650000E+01	2.954200E+01
2.670000E+01	2.969800E+01
2.690000E+01	2.985600E+01
2.710000E+01	3.004300E+01
2.730000E+01	3.015300E+01
2.750000E+01	3.037300E+01
2.770000E+01	3.054200E+01
2.790000E+01	3.073800E+01
2.810000E+01	3.091200E+01
2.830000E+01	3.110300E+01
2.850000E+01	3.129000E+01
2.870000E+01	3.149700E+01
2.890000E+01	3.169500E+01
2.910000E+01	3.191800E+01
2.930000E+01	3.210800E+01
2.950000E+01	3.230400E+01
2.970000E+01	3.254300E+01
2.990000E+01	3.279700E+01
3.010000E+01	3.299600E+01
3.030000E+01	3.324200E+01
3.050000E+01	3.346800E+01
3.070000E+01	3.373900E+01
3.090000E+01	3.399600E+01
3.110000E+01	3.427500E+01
3.130000E+01	3.453200E+01
3.150000E+01	3.481100E+01
3.170000E+01	3.507900E+01
3.190000E+01	3.538500E+01
3.210000E+01	3.573400E+01
3.230000E+01	3.606600E+01
3.250000E+01	3.640900E+01
