depth	signal
3.136000E+02	7.742300E+01
3.141000E+02	7.851100E+01
3.146000E+02	7.900300E+01
3.151000E+02	7.880000E+01
3.156000E+02	7.777000E+01
3.161000E+02	7.586700E+01
3.166000E+02	7.317000E+01
3.171000E+02	7.006600E+01
3.176000E+02	6.622300E+01
3.181000E+02	6.148400E+01
3.186000E+02	5.628300E+01
3.191000E+02	5.116000E+01
3.196000E+02	4.578500E+01
3.201000E+02	4.028900E+01
3.206000E+02	3.484500E+01
3.211000E+02	2.980900E+01
3.216000E+02	2.507000E+01
3.221000E+02	2.093800E+01
3.226000E+02	1.703800E+01
3.231000E+02	1.350200E+01
3.236000E+02	1.048700E+01
3.241000E+02	8.048000E+00
3.246000E+02	6.140000E+00
3.251000E+02	4.474000E+00
3.256000E+02	3.154000E+00
3.261000E+02	2.192000E+00
3.266000E+02	1.498000E+00
3.271000E+02	1.012000E+00
3.276000E+02	6.700000E-01
3.281000E+02	4.390000E-01
3.286000E+02	2.790000E-01
3.291000E+02	1.790000E-01
3.296000E+02	1.210000E-01
3.301000E+02	9.200000E-02
3.306000E+02	6.600000E-02
3.311000E+02	5.300000E-02
3.317000E+02	4.500000E-02
3.322000E+02	4.200000E-02
3.327000E+02	3.900000E-02
3.332000E+02	3.700000E-02
3.337000E+02	3.900000E-02
3.342000E+02	3.700000E-02
3.347000E+02	3.900000E-02
3.352000E+02	3.400000E-02
3.357000E+02	3.700000E-02
3.362000E+02	3.400000E-02
3.367000E+02	3.700000E-02
3.372000E+02	3.700000E-02
3.377000E+02	3.700000E-02
3.382000E+02	3.700000E-02
3.387000E+02	3.700000E-02
3.392000E+02	3.400000E-02
3.397000E+02	3.700000E-02
3.402000E+02	3.400000E-02
3.407000E+02	3.700000E-02
3.412000E+02	3.400000E-02
3.417000E+02	3.400000E-02
3.422000E+02	3.400000E-02
3.427000E+02	3.700000E-02
3.432000E+02	3.400000E-02
3.437000E+02	3.200000E-02
3.442000E+02	3.400000E-02
3.447000E+02	3.400000E-02
3.452000E+02	3.400000E-02
3.457000E+02	3.400000E-02
3.460000E+02	3.200000E-02
